# {
#   "_what": "SPEC.md 5.3's eigenfactor-adjusted factor covariance at both published a, one row per forecast date and horizon, upper triangle row-major. Built by `python -m mafrm.factors.bias_report --rebuild`. It is the ONLY expensive quantity in SPEC.md 6's battery -- every other stage is rebuilt on each render. tests/test_validation.py fails if risk_config_digest stops matching config/model.yaml.",
#   "assets": 13,
#   "columns": [
#     "short",
#     "long"
#   ],
#   "factors": 6,
#   "generated_utc": "2026-09-02T16:50:53+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "panel_digest": "ee0322e0e1a687eb4282a2cc22519e76dfea339df249779d3e2fae69316002c7",
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 3875
# }
date,short_a1_00,short_a1_01,short_a1_02,short_a1_03,short_a1_04,short_a1_05,short_a1_11,short_a1_12,short_a1_13,short_a1_14,short_a1_15,short_a1_22,short_a1_23,short_a1_24,short_a1_25,short_a1_33,short_a1_34,short_a1_35,short_a1_44,short_a1_45,short_a1_55,short_a1.4_00,short_a1.4_01,short_a1.4_02,short_a1.4_03,short_a1.4_04,short_a1.4_05,short_a1.4_11,short_a1.4_12,short_a1.4_13,short_a1.4_14,short_a1.4_15,short_a1.4_22,short_a1.4_23,short_a1.4_24,short_a1.4_25,short_a1.4_33,short_a1.4_34,short_a1.4_35,short_a1.4_44,short_a1.4_45,short_a1.4_55,long_a1_00,long_a1_01,long_a1_02,long_a1_03,long_a1_04,long_a1_05,long_a1_11,long_a1_12,long_a1_13,long_a1_14,long_a1_15,long_a1_22,long_a1_23,long_a1_24,long_a1_25,long_a1_33,long_a1_34,long_a1_35,long_a1_44,long_a1_45,long_a1_55,long_a1.4_00,long_a1.4_01,long_a1.4_02,long_a1.4_03,long_a1.4_04,long_a1.4_05,long_a1.4_11,long_a1.4_12,long_a1.4_13,long_a1.4_14,long_a1.4_15,long_a1.4_22,long_a1.4_23,long_a1.4_24,long_a1.4_25,long_a1.4_33,long_a1.4_34,long_a1.4_35,long_a1.4_44,long_a1.4_45,long_a1.4_55
2009-05-06,24916.9774969,412.088873026,555.818137111,3842.44884556,7383.09982013,-5473.21387134,38.6264516154,28.1524618592,299.580168028,53.8397733023,-55.2420845066,51.9229323919,294.131425202,152.492828618,-123.318916422,5059.02301751,376.254768763,-407.494371812,7060.01789543,-2764.60612205,2797.17036224,26520.0481984,401.532842409,580.801040898,3874.909028,7136.73326893,-5082.52386271,40.8765262597,27.0943486688,274.719126844,69.2957498802,-66.3512749832,52.3892118137,297.012682095,159.635491082,-125.213473531,5212.7173265,517.750097425,-519.733517258,7225.83414352,-2598.39397619,2938.78610812,24434.3523832,409.997323195,550.119598702,3826.96919003,7335.85934627,-5376.61393777,38.9905720862,28.2699761632,302.722423619,54.2750382958,-55.0580914466,51.8683634335,295.669978049,152.925745504,-122.268635323,5117.46552113,379.69568983,-406.564493651,7107.63046785,-2751.73420805,2752.62033718,26006.3726822,399.494869525,574.846364686,3859.29860367,7091.06916176,-4992.81944423,41.2618575382,27.2074461855,277.600618359,69.8559679545,-66.1302808945,52.3341528141,298.56630632,160.088685506,-124.14705689,5272.93532712,522.485020051,-518.547515976,7274.56497631,-2586.2959404,2891.98059476
2009-05-07,31648.7464875,465.473145864,681.439825878,5191.67935366,15938.6549889,-6607.23605216,34.586437696,28.657632503,312.492475828,99.2537265746,-56.0707477146,51.2718098665,298.887491419,252.919152107,-141.547887004,4800.18357579,1061.62135305,-516.865385096,15508.7709065,-4885.95242787,2542.42288684,33102.5684419,472.088215713,712.788074744,5437.72105503,15911.729434,-6576.3293731,35.6108568646,28.4805602244,304.091841362,123.863271691,-65.6036536942,52.2870974403,301.733869386,281.884860783,-143.368406533,4869.15862883,1192.88015476,-638.651015366,16112.0504869,-4684.35812546,2676.26698705,30996.3719137,463.349600048,674.55632108,5169.93555663,15671.0168089,-6498.90045371,34.9928896531,28.8330659851,316.283579217,99.1864029191,-56.0552406901,51.2986229953,300.830151666,251.341138902,-140.721289965,4860.24354888,1061.29976933,-516.916539333,15307.8445781,-4824.59045181,2511.50220418,32420.2262838,469.934491132,705.587908352,5414.94678588,15644.5433817,-6468.50053627,36.029347563,28.6549097228,307.781029741,123.779255418,-65.5855102324,52.3144415244,303.695030057,280.126124725,-142.531178207,4930.08161888,1192.51881044,-638.714222743,15903.3082747,-4625.52794334,2643.71850636
2009-05-08,22599.6079344,296.890389201,334.248547656,4015.64713586,11451.210002,-5484.96072479,43.4862048165,42.4115509667,232.975561593,115.527270298,-69.1616495877,81.2614962893,133.658960601,242.276181814,-190.199638597,5208.08205773,-115.440820241,-89.8403195864,12607.4755879,-4871.14248459,2687.35384036,23064.7752948,291.219450818,320.9847897,4023.90532705,11193.1797583,-5337.68405148,44.6648706755,40.6857257331,220.330549142,122.234678483,-67.3411318104,83.7824297001,125.044743996,236.324572512,-189.887087574,5343.24873209,-105.457323805,-107.424073149,12855.2214689,-4706.3173457,2748.07007939,22274.9747855,294.841450134,329.61453178,4005.76163498,11325.6248373,-5409.4012545,43.513096498,42.1402453044,234.161779613,115.125462377,-68.7253723896,80.1755857391,133.397639328,239.740837532,-187.674759438,5258.0004748,-115.553589149,-89.6726918103,12512.1921218,-4820.59875819,2651.91675686,22733.4602272,289.209648779,316.534662327,4013.9994966,11070.4244055,-5264.15342843,44.6924912389,40.4254601328,221.452383836,121.80954196,-66.9163385835,82.662831508,124.800264678,233.851509955,-187.366357496,5394.4626945,-105.560340287,-107.22363688,12758.0656148,-4657.48387038,2711.83235462
2009-05-11,30075.0574316,513.448624509,741.630084271,4468.67515739,17655.6657146,-7636.33860984,40.7811263522,40.9015666367,279.643576964,244.170041719,-116.589831308,75.2386664736,250.627982411,484.035941468,-249.166381055,4199.19944553,919.338230774,-468.426558252,17810.8226721,-6320.1537903,3295.27296007,31005.1073529,526.782039416,773.007642208,4597.15818339,17874.6918713,-7668.45167179,42.1995290961,40.2745697754,274.567546322,263.28170984,-124.924825049,77.6702827826,255.865524216,504.144260418,-253.696725649,4237.09306971,1053.82705725,-546.356776858,18411.3113666,-6213.57717462,3442.4715734,29534.5892219,509.871436158,731.182033168,4467.4260184,17366.0144022,-7509.62860111,40.9507747885,40.7771936774,282.697944512,242.855338815,-115.939967337,74.4719910486,251.548565306,477.977411746,-246.000748643,4273.6524451,920.545997824,-468.952554195,17546.5455835,-6225.18865605,3245.14037464,30447.9255453,523.111957378,762.117545487,4595.87312925,17581.4473092,-7541.20881001,42.3750780513,40.1521033802,277.566471642,261.864102561,-124.228502377,76.8788294003,256.805345151,497.834041023,-250.473535691,4312.21793401,1055.21150702,-546.970280604,18138.1242233,-6120.21343536,3390.09958409
2009-05-12,23787.3946923,381.771332298,498.906317126,3062.81169528,12419.7852236,-5557.33457849,33.4347519873,29.2823878895,202.134424584,164.317680918,-39.2963774161,66.7948619634,218.741977069,320.604396818,-230.396606661,4132.30894227,429.950240969,-570.58164595,13765.2617698,-4878.35745844,3540.10653244,24531.8589619,378.304669355,503.745815004,2948.72817288,11960.7720539,-5397.24764466,34.3717950624,28.1640172296,190.05716383,170.296676599,-40.7930996623,68.0213618992,215.102647596,320.374901717,-225.391633819,4217.42739934,497.220067872,-630.977684377,14169.0902521,-4680.5121765,3644.90519404,23514.5768284,381.77607407,494.333914664,3074.60171226,12307.5210298,-5479.64560124,33.8235046497,29.3510064936,205.269278435,164.723629561,-39.1970649423,66.3369616081,220.095830944,318.446947394,-227.705290205,4212.49724712,432.666207321,-571.323388783,13674.3656165,-4821.98393131,3481.7525035,24250.5028299,378.309368069,499.129059261,2960.07903565,11852.656945,-5321.796609,34.7714429151,28.2300151105,193.004714368,170.717396416,-40.6900045704,67.5550534907,216.433976667,318.218996639,-222.758781618,4299.26744536,500.360973133,-631.797940652,14075.5274981,-4626.42491816,3584.82369615
2009-05-13,22860.0085965,375.196598147,423.93500138,2541.34705893,11684.870696,-4999.90234573,31.5316389038,26.8555851366,165.183095625,101.144062684,-34.4813415996,59.9975239713,182.854846182,280.8745981,-204.495276801,4284.81476046,858.183959669,-553.553734642,14321.3311584,-4994.13846955,3232.6345956,23684.1344358,372.222636107,409.476635549,2421.87537394,11247.1214994,-4787.51730062,32.2156713834,25.4419319067,156.557923362,106.332248271,-34.7381059996,61.4139381025,180.729908022,278.361916169,-202.293137117,4334.08486127,885.778198445,-582.015315371,14669.8544269,-4784.66049002,3321.42281306,22657.398172,375.992219453,421.610385521,2549.44789936,11589.3302156,-4945.7952158,31.9486733393,27.0043024457,167.546006935,101.428765372,-34.4861792737,59.8719952805,184.063220133,279.527968759,-202.972063859,4350.73597824,861.51597428,-554.220911574,14214.0746795,-4943.51625707,3191.33345505,23474.2197058,373.011950993,407.231301057,2429.59538443,11155.1602429,-4735.70852463,32.6417527669,25.5828208738,158.797453298,106.631554786,-34.7429796974,61.2854459458,181.924239578,277.027333667,-200.786327133,4400.76409199,889.217351399,-582.716795947,14559.9877591,-4736.16161451,3278.98728675
2009-05-14,28542.250981,511.824591313,461.351445843,2381.05242827,11265.7922652,-4639.43743663,33.5624324101,27.3392394571,159.229846344,119.671479428,-37.8867486688,55.9063107426,155.638921833,253.89898832,-187.961684198,3838.7295907,647.995172375,-424.547353833,12489.4843778,-4388.57731199,2900.60540377,29581.8400955,499.638915683,424.750874675,2312.62959896,10814.4152759,-4385.89479341,34.0878846464,25.9125164324,152.099001813,121.660163899,-36.6333847099,57.5965330875,149.99102277,245.450077487,-186.801322747,3871.36111526,654.866995309,-425.435117872,12729.9953681,-4176.09945468,2963.0054571,28065.039652,509.45753217,457.773595599,2386.3798135,11159.1344208,-4580.67626737,33.8181360842,27.4608946211,161.549078175,119.996569358,-37.86700996,55.9784798424,157.409244887,253.7880414,-187.272935641,3921.49167949,654.234902722,-427.251488505,12462.4838949,-4364.9508865,2875.67476635,29087.2473867,497.328212204,421.456867396,2317.80389441,10712.0308013,-4330.34488895,34.3475916081,26.0278229113,154.314370694,121.99065613,-36.6142989941,57.6708840846,151.6971035,245.342822511,-186.116826106,3954.82673188,661.172896399,-428.144907115,12702.4749348,-4153.61692889,2937.53849263
2009-05-15,23664.7535693,463.828109417,425.469212482,2751.50857867,10024.6600674,-4286.25045982,33.1361333934,27.2634975666,184.822132155,97.9490815689,-41.2492851241,53.8322480867,188.083404613,219.915804679,-183.237353207,4193.62915804,234.94944768,-562.840376173,12176.7877631,-4035.97302386,2739.59075746,24480.1200676,454.819595171,398.521122918,2683.38105301,9640.47349592,-4091.38193752,33.6334884633,25.9692092871,178.680666893,101.757657914,-40.2854442683,55.2873254869,182.918342775,214.501115496,-182.781735115,4213.07956406,278.746484388,-554.944604404,12421.4510903,-3847.51516457,2800.55440791,23452.2159633,463.575043692,424.113174262,2756.69096131,9977.49821712,-4255.33027639,33.3999562438,27.4079326342,186.746414386,98.318095423,-41.3003031834,53.9744052908,189.539361814,220.160889542,-182.979090211,4247.58958196,236.407769319,-564.906128017,12171.8010803,-4024.14933678,2724.67841496,24260.2595016,454.571444513,397.250972556,2688.43511953,9595.11908346,-4061.86749799,33.9012711491,26.1067875449,180.541007039,102.141020218,-40.3352702273,55.4333251784,184.334317134,214.740165966,-182.524114288,4267.29026097,280.476652447,-556.981376975,12416.3642121,-3836.24357899,2785.31022357
2009-05-18,24426.6845346,429.038176129,395.773336487,3561.08366491,10739.1309966,-4213.48595498,28.7540709152,23.7934899833,149.407998428,87.7951668273,-34.4256561932,47.6077025457,150.324738808,196.852673161,-160.655845862,5726.14533458,2162.23895608,-612.240419033,13387.5378117,-3823.95443789,2579.67940115,25125.0777728,418.455397214,369.858362267,3363.50054202,10237.3553995,-4000.12565939,29.121613494,22.5615361137,140.182936809,89.9000438578,-32.9706103552,48.5526498504,145.027966042,192.208792416,-157.508644274,5831.27670523,2093.14543198,-617.597286427,13631.3192581,-3611.23452076,2627.86623058,24178.2413882,430.207548439,395.386729508,3535.46308276,10652.0076391,-4186.82309698,29.2081016268,24.0799515028,150.265707396,88.2175192081,-34.6535068657,48.0029747723,150.629473685,197.069319591,-161.122044839,5702.04237015,2151.14636416,-610.195502453,13306.5412151,-3807.65782422,2573.30741696,24869.5312877,419.59592545,369.497070056,3339.30149195,10154.3027973,-3974.81294122,29.5814477531,22.8331655351,140.987687313,90.3325220788,-33.188830618,48.9557676861,145.321963423,192.420328018,-157.965710548,5806.73121314,2082.40729962,-615.534477617,13548.8477474,-3595.84445929,2621.37522163
2009-05-19,20885.7749521,434.413236021,414.097988864,2492.07664512,9405.75609967,-3685.16163572,27.1846364029,23.983848695,123.175993842,111.02604515,-36.130942795,46.372330682,128.687701662,210.735597932,-156.329366193,3973.87194098,1160.28796006,-501.863748161,10942.2796468,-3527.29269556,2448.01577176,21422.3551503,424.329546674,387.815232406,2386.34143571,9068.15466565,-3505.47313122,27.4656220102,22.9586707428,117.056666686,110.894369968,-34.4552515194,47.3478119996,123.814351375,203.538964775,-154.677126525,4028.31791484,1139.63599478,-501.880827669,11110.0735061,-3354.94049857,2490.82054325,20792.7670132,437.171311085,415.088534728,2507.81142642,9405.31128422,-3678.05483916,27.6540692023,24.3020776373,125.298672123,112.225420877,-36.4525458408,46.8028677082,130.39064978,212.174549184,-157.100710573,4042.21247438,1172.78130723,-506.313227163,10990.1858936,-3536.07058614,2449.49093265,21326.9577276,427.023600733,388.742908426,2401.40861299,9067.725816,-3498.7128621,27.9399069569,23.2632971436,119.073891279,112.092323255,-34.7619391665,47.7874057374,125.45280955,204.928775756,-155.440318592,4097.59478111,1151.90697287,-506.330458096,11158.7143688,-3363.28947982,2492.32149805
