horizon,variant,fam1_subset_median,fam1_pooled,fam1_pooled_cells,fam2_median,fam3_median,fam3_mrad,fam4,fam4_subset,gap_fam4_fam2,T_sessions,monthly_fam2,monthly_fam4,T_months,min_var_realised_vol_bp,B_factor,B_specific,B_total_monthly,random_specific_inside,random_specific_median,clipped_fam4
short,sample,0.956617,0.953156,1781295,0.985268,,,3.21529,3.21529,2.23003,3985,0.960021,3.24011,190,118.852,,,,,,0.499373
short,ewma,0.946104,0.947995,1538616,0.988401,1.02976,0.0622027,1.04794,1.04976,0.0595427,3985,0.954675,1.12515,190,74.6067,1.11677,0.875491,0.999858,0.76,0.943026,0.0097867
short,newey_west,0.966851,0.965485,1538616,0.993704,1.0836,0.119973,1.08744,1.08757,0.0937348,3985,0.958588,1.18376,190,72.8455,1.18255,0.967699,1.07235,0.76,0.943026,0.00928482
short,psd_repair,0.966851,0.965485,1538616,0.993704,1.0836,0.119973,1.08744,1.08757,0.0937348,3985,0.958588,1.18376,190,72.8455,1.18255,0.967699,1.07235,0.76,0.943026,0.00928482
short,eigen_a1,0.967073,0.966986,1538616,0.994352,1.0706,0.0902871,1.03418,1.03436,0.0398319,3985,0.95918,1.10765,190,73.2299,1.08923,0.947855,0.999398,0.76,0.943026,0.00903388
short,eigen_a1.4,0.966914,0.967456,1538616,0.994514,1.06468,0.079792,1.0159,1.01617,0.0213831,3985,0.959403,1.0802,190,73.4524,1.05655,0.939444,0.973513,0.76,0.943026,0.00853199
short,vra_a1,0.949538,0.947002,1538616,0.97777,1.0451,0.0768641,1.01423,1.01411,0.0364558,3985,0.943841,1.08221,190,73.4061,0.964411,0.926488,0.890603,0.76,0.943026,0.00878294
short,vra_a1.4,0.948771,0.94736,1538616,0.97776,1.04017,0.0663316,0.995869,0.99581,0.0181083,3985,0.944042,1.05645,190,73.6186,0.935949,0.918763,0.867617,0.76,0.943026,0.00828105
short,specified_a1,0.937284,0.932839,1538616,0.948766,1.0451,0.0768641,1.01206,1.01169,0.0632925,3985,0.920811,1.07868,190,73.2879,0.958819,0.804373,0.87893,0.1,0.837166,0.00853199
long,sample,0.904312,0.900578,1781295,0.950884,,,1.93236,1.93236,0.981472,3985,0.922418,2.05012,190,95.3646,,,,,,0.0750314
long,ewma,0.894808,0.903206,1538616,0.955546,0.995426,0.0444944,0.957704,0.959355,0.00215877,3985,0.915861,1.00687,190,74.7147,1.04582,0.872361,0.942537,0.67,0.919509,0.00652447
long,newey_west,0.926844,0.928681,1538616,0.961922,1.0395,0.0846944,1.01955,1.02049,0.0576285,3985,0.921997,1.07753,190,73.9958,1.13063,0.884308,1.0363,0.67,0.919509,0.00828105
long,psd_repair,0.926844,0.928681,1538616,0.961922,1.0395,0.0846944,1.01955,1.02049,0.0576285,3985,0.921997,1.07753,190,73.9958,1.13063,0.884308,1.0363,0.67,0.919509,0.00828105
long,eigen_a1,0.925993,0.930055,1538616,0.962862,1.029,0.0573464,0.970103,0.970822,0.00724158,3985,0.922319,1.01019,190,74.3961,1.04277,0.870899,0.96708,0.67,0.919509,0.00727729
long,eigen_a1.4,0.92581,0.930484,1538616,0.963141,1.02224,0.0474842,0.953195,0.953828,-0.00994662,3985,0.922352,0.986445,190,74.6224,1.01209,0.86514,0.942599,0.67,0.919509,0.00702635
long,vra_a1,0.894813,0.897216,1538616,0.937052,0.979705,0.047714,0.939279,0.939637,0.00222746,3985,0.898992,0.967211,190,74.5846,0.93244,0.855804,0.868662,0.67,0.919509,0.00702635
long,vra_a1.4,0.894851,0.897648,1538616,0.937325,0.974699,0.0453154,0.922689,0.923087,-0.0146363,3985,0.899197,0.943317,190,74.7951,0.904763,0.850768,0.846286,0.67,0.919509,0.00702635
long,specified_a1,0.893253,0.893081,1538616,0.927996,0.979705,0.047714,0.938597,0.939088,0.0106008,3985,0.896732,0.967178,190,74.3849,0.928318,0.755329,0.859805,0.1,0.830699,0.00727729
