ticker,security,current,cik,method,matched_name,predecessor_cik,facts,used,dropped,no_filing_date,nonpositive,first_filed,last_filed,status,treat_as
A,Agilent Technologies,True,1090872,ticker,"AGILENT TECHNOLOGIES, INC.",,55,55,0,0,0,2009-10-05,2024-12-20,ok,
AA,Alcoa,False,,ambiguous,ALCOA,,0,0,0,0,0,,,ambiguous,
AAL,American Airlines Group,False,6201,name,AMERICAN AIRLINES GROUP,,49,49,0,0,0,2010-07-21,2024-10-24,ok,
AAP,Advance Auto Parts,False,1158449,name,ADVANCE AUTO PARTS,,48,43,4,0,0,2010-06-02,2024-11-14,ok,
AAPL,Apple Inc.,True,320193,ticker,Apple Inc.,,62,61,0,0,0,2009-07-22,2024-11-01,ok,
ABBV,AbbVie,True,1551152,ticker,AbbVie Inc.,,47,47,0,0,0,2013-05-08,2024-11-04,ok,
ABK,Ambac Financial,False,,unmapped,AMBAC FINANCIAL,,0,0,0,0,0,,,unmapped,
ABMD,Abiomed,False,815094,name,ABIOMED,,45,45,0,0,0,2011-08-05,2022-11-03,ok,
ABNB,Airbnb,True,1559720,ticker,"Airbnb, Inc.",,0,0,0,0,0,,,no_facts,
ABS,Albertsons,False,,unmapped,ALBERTSONS,,0,0,0,0,0,,,unmapped,
ABT,Abbott Laboratories,True,1800,ticker,ABBOTT LABORATORIES,,62,62,0,0,0,2009-08-07,2024-10-31,ok,
ACAS,American Capital,False,817473,name,AMERICAN CAPITAL,,0,0,0,0,0,,,no_facts,
ACE,Chubb,False,,ambiguous,CHUBB,,0,0,0,0,0,,,ambiguous,
ACGL,Arch Capital Group,True,947484,ticker,ARCH CAPITAL GROUP LTD.,,44,44,0,0,0,2010-08-05,2024-11-07,ok,
ACN,Accenture,True,1467373,ticker,Accenture plc,,2,2,0,0,0,2009-12-18,2010-03-26,ok,
ADBE,Adobe Inc.,True,796343,ticker,ADOBE INC.,,61,61,0,0,0,2009-06-26,2024-09-25,ok,
ADCT,ADC Telecommunications,False,,unmapped,ADC TELECOMMUNICATIONS,,0,0,0,0,0,,,unmapped,
ADI,Analog Devices,True,6281,ticker,ANALOG DEVICES INC,,62,62,0,0,0,2009-08-18,2024-11-26,ok,
ADM,Archer Daniels Midland,True,7084,ticker,Archer-Daniels-Midland Co,,57,55,0,0,0,2009-11-06,2024-11-18,ok,
ADP,Automatic Data Processing,True,8670,ticker,AUTOMATIC DATA PROCESSING INC,,59,59,0,0,0,2009-11-06,2024-11-01,ok,
ADS,Alliance Data Systems,False,1101215,name,ALLIANCE DATA SYSTEMS,,45,45,0,0,0,2010-08-09,2024-10-31,ok,
ADSK,Autodesk,True,769397,ticker,"Autodesk, Inc.",,63,61,0,0,0,2009-06-03,2024-12-03,ok,
ADT,ADT,False,,ambiguous,ADT,,0,0,0,0,0,,,ambiguous,
AEE,Ameren,True,1002910,ticker,AMEREN CORP,,58,58,0,0,0,2009-08-10,2024-11-07,ok,
AEP,American Electric Power,True,4904,ticker,AMERICAN ELECTRIC POWER CO INC,,63,59,3,1,0,2009-08-04,2024-11-06,ok,
