date,COUNTRY,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other,BETA,MOMENTUM,SIZE,NLSIZE,RESVOL,LIQUIDITY
2007-04-03,9.190292e-03,,-5.943978e-04,,-1.737621e-03,1.357445e-02,-1.812561e-03,1.424192e-02,-1.093675e-02,-7.083166e-03,-5.442472e-03,1.054942e-02,5.864877e-03,1.254791e-03,-5.497258e-03,-5.692733e-03,,5.050425e-03,-3.929807e-04,-4.535238e-03,,-1.074769e-03,-6.453616e-03,-1.245598e-03,2.707297e-03,4.926295e-03,-6.218430e-03,3.221890e-03,1.172323e-03,,-4.679731e-03,-7.778356e-03,-3.829165e-04,-2.058216e-03,3.543881e-04,2.056371e-03,-2.963575e-04,-2.258523e-03,-1.429266e-03,1.617950e-03,-4.639397e-04,1.790447e-03,-1.690022e-03,3.312469e-03,-1.311253e-03,1.196523e-03,3.205838e-03,3.887774e-03,2.004087e-03,-1.020889e-02,1.849381e-03,7.011109e-04,-2.598032e-04,2.489435e-04,3.854181e-05,7.447106e-05
2007-04-04,2.754469e-04,,-2.239186e-03,,5.466468e-03,7.941601e-03,9.188111e-03,-3.598085e-03,-9.447204e-03,1.826521e-03,6.509088e-03,4.426496e-03,4.328596e-04,3.601523e-03,-5.282696e-03,-9.092528e-03,,2.039604e-03,-2.371159e-03,6.543283e-03,,2.602115e-03,-6.195506e-03,2.528908e-03,-1.322100e-03,1.138187e-02,-4.144084e-03,1.354366e-02,-9.874588e-04,,4.421451e-03,-5.329888e-03,-6.523591e-03,-5.554678e-03,-3.776898e-03,6.869485e-04,9.212546e-03,2.908355e-03,6.628263e-03,-6.084637e-03,6.857882e-03,-6.226477e-04,-3.950878e-03,-2.046815e-03,-3.916479e-04,-1.871997e-03,9.127320e-05,-5.342427e-04,-8.954141e-04,-1.519943e-03,-1.438743e-03,1.162364e-03,1.357345e-03,1.164339e-04,-1.002337e-03,1.994419e-03
2007-04-05,2.721948e-03,,-2.164147e-04,,-1.026149e-03,2.116448e-03,1.463326e-02,7.948696e-03,-4.671265e-03,1.772008e-03,-4.393148e-03,9.769118e-03,-2.551742e-03,3.975557e-03,-4.908175e-03,6.762224e-03,,-7.940860e-03,3.939345e-03,6.032714e-03,,-1.590739e-03,-2.827978e-03,-5.043531e-03,-2.106828e-03,-4.916015e-03,-6.554667e-03,-1.076197e-03,-5.733879e-03,,-4.521124e-04,1.974796e-05,6.357534e-03,-2.161797e-03,-2.353454e-03,8.208898e-04,-1.377286e-03,-7.210874e-04,-4.421471e-03,8.026728e-04,5.948884e-03,-2.455400e-03,-6.818984e-04,5.150470e-04,1.180420e-03,7.050058e-04,-4.569759e-04,-1.052993e-02,-4.933196e-03,-5.448694e-03,9.016525e-04,7.146670e-05,-3.361780e-04,2.524143e-04,3.276963e-04,5.734259e-04
2007-04-09,6.423238e-04,,3.631031e-03,,-3.488508e-03,-1.492412e-02,-6.338236e-03,3.255616e-03,5.406637e-03,6.165903e-03,3.082914e-03,7.532812e-03,-7.698304e-04,-1.847332e-03,2.372076e-02,-6.580430e-03,,-6.752642e-04,8.246996e-04,4.957257e-03,,4.045576e-04,-6.284890e-03,-9.761500e-04,-8.695937e-04,5.889586e-03,1.257699e-02,-4.352069e-04,6.592616e-03,,-3.227893e-03,7.036241e-03,-2.365801e-03,2.769850e-03,-3.029027e-03,-5.468167e-03,-2.216176e-03,4.427851e-04,1.351708e-03,8.342757e-03,8.495939e-03,1.043947e-02,9.601604e-04,2.465566e-03,3.534997e-03,-3.258160e-04,-1.438317e-04,-1.430008e-02,9.637556e-04,6.195340e-03,5.118272e-04,1.093577e-03,1.224221e-03,-3.776345e-04,1.838382e-03,2.038026e-04
2007-04-10,3.100070e-03,,3.579138e-04,,5.420985e-03,1.795615e-03,-1.561805e-04,-3.352452e-03,-1.539637e-02,-4.508982e-03,3.509662e-03,2.291954e-03,-2.951773e-03,-1.238339e-03,-1.739814e-02,-1.052344e-02,,-6.019168e-03,-1.292560e-02,-3.732757e-03,,-2.106536e-03,-1.462477e-03,1.781454e-03,-5.258911e-03,-5.294379e-03,-2.776259e-03,-1.435462e-03,1.179853e-02,,1.098653e-02,1.358910e-03,-6.569105e-04,-6.870441e-03,5.646353e-04,-7.672349e-03,2.163244e-03,7.406468e-03,-1.831155e-03,8.851998e-04,7.338388e-03,-5.352752e-03,1.406490e-03,-6.100929e-03,-3.537442e-03,2.309868e-03,-3.841230e-03,-1.399503e-02,-1.205726e-03,-3.359286e-03,5.635352e-04,-7.775716e-04,-4.702571e-04,5.083860e-04,1.020172e-03,-1.029080e-03
2007-04-11,-7.550284e-03,,9.781193e-04,,-2.751074e-04,-3.203379e-03,5.022094e-03,-3.285509e-03,2.134758e-03,1.898674e-03,4.054355e-03,-3.381092e-03,8.581910e-03,3.414647e-03,-1.798348e-03,-1.765281e-03,,-3.208960e-03,-6.439098e-03,5.306806e-03,,-2.169601e-03,4.206738e-03,1.987023e-04,1.048792e-04,-9.409502e-03,-6.281075e-03,-3.194568e-03,-4.185241e-03,,1.992984e-03,9.604707e-04,4.608138e-03,6.291124e-03,3.595683e-04,-8.323830e-04,-6.463911e-03,-6.043818e-03,-2.416723e-04,-4.200483e-03,1.441379e-03,-3.458344e-03,1.544117e-03,-2.747903e-03,-1.679785e-04,-5.478584e-04,1.662177e-03,5.313212e-03,-2.466995e-03,6.940199e-04,-1.123070e-03,-6.736942e-04,-5.525829e-04,-1.510257e-03,-8.725107e-04,1.062852e-03
2007-04-12,4.685542e-03,,-2.583879e-03,,6.927624e-03,4.764672e-03,-9.468911e-03,-5.139276e-04,-2.168209e-03,3.697920e-03,8.448199e-03,6.957930e-03,3.264021e-03,8.160272e-03,7.937306e-03,-9.153163e-04,,3.326311e-03,8.257362e-03,-7.721706e-03,,-4.382252e-03,7.539028e-03,-4.069043e-03,5.986710e-03,2.599973e-03,-9.461872e-03,-8.093518e-03,-1.226629e-02,,1.227479e-02,-6.705277e-03,-3.733683e-03,-2.533675e-03,4.466929e-03,-8.368029e-04,4.749462e-03,1.686164e-03,-1.244911e-03,-1.822316e-03,-4.449302e-03,1.110010e-02,2.353489e-03,-2.391182e-03,-3.759262e-03,-6.849495e-03,-1.936427e-03,-4.914775e-03,-1.049823e-02,-9.031726e-03,2.903786e-03,-1.676234e-04,-8.207353e-04,9.855128e-04,1.037188e-03,-1.543274e-04
2007-04-13,3.236957e-03,,-3.256927e-03,,8.339787e-04,-9.231657e-03,-1.766349e-02,5.100692e-03,-3.227847e-03,-6.364497e-03,-1.888716e-02,-9.172748e-06,-1.240479e-02,1.458414e-02,-8.446071e-03,-9.327149e-03,,-2.984751e-03,-1.811517e-02,-4.503756e-03,,-1.736797e-03,5.959109e-03,-1.138627e-02,2.618457e-03,-1.343058e-02,-4.568967e-03,2.054066e-02,-5.922093e-04,,-4.479895e-03,-8.179905e-03,1.469415e-03,-1.061888e-02,-3.554268e-03,1.909502e-04,-4.540250e-03,-8.847738e-03,-9.595437e-03,-4.567139e-03,-2.687492e-03,-1.175840e-02,-3.538189e-03,-8.813253e-03,4.398217e-03,7.882901e-03,-2.466921e-03,-1.860177e-02,3.438656e-03,-1.282932e-02,-1.109756e-03,-8.313184e-04,-2.450999e-03,5.845906e-04,1.791983e-03,-5.687375e-05
2007-04-16,1.165075e-02,,-1.094718e-02,,-1.274353e-03,-1.125499e-02,-1.251870e-02,-9.780580e-03,3.696194e-03,-5.009615e-03,6.087834e-03,-2.958973e-02,2.891284e-03,-2.015543e-03,-2.521869e-03,-5.156019e-03,,9.409807e-03,-1.037904e-02,-5.402511e-03,,-1.944323e-03,-7.114278e-03,-3.810688e-03,-4.294259e-03,-4.271077e-03,-1.115429e-02,-8.668367e-03,-1.043071e-02,,-9.166817e-03,-4.912026e-04,-4.506652e-03,4.601345e-03,-1.926220e-03,-4.897482e-03,-4.029200e-03,-5.884621e-03,-1.262354e-03,-1.172480e-03,8.035234e-03,1.481625e-03,-3.397935e-03,-2.241924e-04,3.313056e-03,1.109974e-02,3.880337e-03,-1.226097e-02,4.187614e-04,1.079160e-03,3.600354e-03,-2.128709e-03,-6.018453e-04,3.504253e-04,3.657498e-03,-1.747338e-03
2007-04-17,1.451354e-03,,1.690727e-03,,1.901549e-02,9.022904e-04,9.059673e-03,-6.827382e-03,2.797089e-02,6.473822e-04,-5.077608e-03,-5.631668e-03,7.140990e-03,1.366514e-03,-5.587186e-03,-8.585656e-03,,3.839583e-04,2.382350e-02,-9.701592e-03,,4.329188e-03,-4.451408e-03,-4.194875e-03,7.936466e-04,-4.883711e-03,3.797728e-05,-5.131097e-03,-5.928370e-04,,-6.030479e-03,7.369174e-03,-2.593071e-03,1.122571e-02,2.929696e-03,5.036023e-04,2.080327e-03,-1.184645e-04,2.891579e-03,1.728537e-03,-1.649302e-04,-3.469821e-03,1.217682e-03,5.124374e-03,7.224325e-03,-5.138397e-03,3.498735e-03,6.489730e-02,6.379662e-03,1.179290e-02,-9.340881e-04,-1.400986e-03,1.406359e-03,8.264172e-04,-1.616333e-03,9.157722e-04
