ticker,sic_current,industry_current,first_10k_accession,first_10k_filed,first_10k_cik,sic_first,industry_first,first_status,sic_differs,industry_differs,cik,sic_description,status
A,3826,38,0001047469-07-010272,2007-12-21,1090872.0,3825,38,ok,True,False,1090872.0,Laboratory Analytical Instruments,ok
AA,,,,,,,,,,,,,no_cik
AAL,4512,41,0000004515-08-000014,2008-02-20,6201.0,4512,41,ok,False,False,6201.0,"Air Transportation, Scheduled",ok
AAP,5531,43,0001158449-08-000043,2008-02-27,1158449.0,5531,43,ok,False,False,1158449.0,Retail-Auto & Home Supply Stores,ok
AAPL,3571,35,0001047469-07-009340,2007-11-15,320193.0,3571,35,ok,False,False,320193.0,Electronic Computers,ok
ABBV,2834,13,0001047469-13-002827,2013-03-15,1551152.0,2834,13,ok,False,False,1551152.0,Pharmaceutical Preparations,ok
ABK,,,,,,,,,,,,,no_cik
ABMD,3841,12,0001193125-07-134975,2007-06-13,815094.0,3841,12,ok,False,False,815094.0,Surgical & Medical Instruments & Apparatus,ok
ABNB,7340,34,0001559720-21-000010,2021-02-26,1559720.0,7340,34,ok,False,False,1559720.0,Services-To Dwellings & Other Buildings,ok
ABS,,,,,,,,,,,,,no_cik
ABT,2834,13,0001047469-08-001480,2008-02-19,1800.0,2834,13,ok,False,False,1800.0,Pharmaceutical Preparations,ok
ACAS,,,0001193125-08-043109,2008-02-29,817473.0,,,no_sic_in_header,,,817473.0,,no_sic
ACE,,,,,,,,,,,,,no_cik
ACGL,6331,46,0001047469-08-002070,2008-02-29,947484.0,6331,46,ok,False,False,947484.0,"Fire, Marine & Casualty Insurance",ok
ACN,7389,34,0001193125-09-209671,2009-10-19,1467373.0,7389,34,ok,False,False,1467373.0,"Services-Business Services, NEC",ok
ADBE,7372,36,0001047469-08-000497,2008-01-24,796343.0,7372,36,ok,False,False,796343.0,Services-Prepackaged Software,ok
ADCT,,,,,,,,,,,,,no_cik
ADI,3674,37,0000950135-07-007253,2007-11-30,6281.0,3674,37,ok,False,False,6281.0,Semiconductors & Related Devices,ok
ADM,2070,2,0000007084-07-000166,2007-08-27,7084.0,2070,2,ok,False,False,7084.0,Fats & Oils,ok
ADP,7374,34,0001206774-07-002085,2007-08-29,8670.0,7374,34,ok,False,False,8670.0,Services-Computer Processing & Data Preparation,ok
ADS,6141,45,0001193125-08-041317,2008-02-28,1101215.0,7389,34,ok,True,True,1101215.0,Personal Credit Institutions,ok
ADSK,7372,36,0001193125-07-128970,2007-06-04,769397.0,7372,36,ok,False,False,769397.0,Services-Prepackaged Software,ok
ADT,,,,,,,,,,,,,no_cik
AEE,4931,31,0000950137-08-003079,2008-02-29,1002910.0,4931,31,ok,False,False,1002910.0,Electric & Other Services Combined,ok
AEP,4911,31,0000004904-08-000022,2008-02-28,4904.0,4911,31,ok,False,False,4904.0,Electric Services,ok
AES,4991,49,0001104659-07-042479,2007-05-23,874761.0,4991,49,ok,False,False,874761.0,Cogeneration Services & Small Power Producers,ok
AET,6324,46,0001122304-08-000034,2008-02-29,1122304.0,6324,46,ok,False,False,1122304.0,Hospital & Medical Service Plans,ok
AFL,6321,46,0000950144-08-001495,2008-02-29,4977.0,6321,46,ok,False,False,4977.0,Accident & Health Insurance,ok
AGN,,,,,,,,,,,,,no_cik
AIG,6331,46,0000950123-08-002280,2008-02-28,5272.0,6331,46,ok,False,False,5272.0,"Fire, Marine & Casualty Insurance",ok
AIV,,,,,,,,,,,,,no_cik
AIZ,6399,46,0001193125-08-044379,2008-03-03,1267238.0,6321,46,ok,True,False,1267238.0,"Insurance Carriers, NEC",ok
AJG,6411,46,0001193125-08-018228,2008-02-04,354190.0,6411,46,ok,False,False,354190.0,"Insurance Agents, Brokers & Service",ok
AKAM,7389,34,0001193125-08-043671,2008-02-29,1086222.0,7389,34,ok,False,False,1086222.0,"Services-Business Services, NEC",ok
AKS,,,,,,,,,,,,,no_cik
ALB,2821,14,0001193125-08-042183,2008-02-29,915913.0,2821,14,ok,False,False,915913.0,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",ok
ALGN,3842,12,0001047469-08-001750,2008-02-26,1097149.0,3842,12,ok,False,False,1097149.0,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",ok
ALK,4512,41,0001193125-08-034506,2008-02-20,766421.0,4512,41,ok,False,False,766421.0,"Air Transportation, Scheduled",ok
ALL,6331,46,0001047469-08-001846,2008-02-27,899051.0,6331,46,ok,False,False,899051.0,"Fire, Marine & Casualty Insurance",ok
ALLE,7381,34,0001579241-14-000007,2014-03-10,1579241.0,7381,34,ok,False,False,1579241.0,"Services-Detective, Guard & Armored Car Services",ok
ALTR,3674,37,0001193125-08-037607,2008-02-25,768251.0,3674,37,ok,False,False,768251.0,Semiconductors & Related Devices,ok
ALXN,2834,13,0001193125-08-043592,2008-02-29,899866.0,2834,13,ok,False,False,899866.0,Pharmaceutical Preparations,ok
AMAT,3674,37,0000891618-07-000682,2007-12-14,6951.0,3674,37,ok,False,False,6951.0,Semiconductors & Related Devices,ok
AMCR,3990,49,0001748790-19-000003,2019-09-03,1748790.0,3990,49,ok,False,False,1748790.0,Miscellaneous Manufacturing Industries,ok
AMD,3674,37,0001193125-08-038588,2008-02-26,2488.0,3674,37,ok,False,False,2488.0,Semiconductors & Related Devices,ok
AME,3823,38,0000893220-08-000535,2008-02-27,1037868.0,3621,22,ok,True,True,1037868.0,"Industrial Instruments For Measurement, Display, and Control",ok
AMG,6282,48,0001047469-08-002079,2008-02-29,1004434.0,6282,48,ok,False,False,1004434.0,Investment Advice,ok
AMGN,2836,13,0001193125-08-040431,2008-02-28,318154.0,2836,13,ok,False,False,318154.0,"Biological Products, (No Diagnostic Substances)",ok
AMP,6282,48,0001047469-08-002027,2008-02-29,820027.0,6282,48,ok,False,False,820027.0,Investment Advice,ok
AMT,6798,48,0001193125-08-057075,2008-03-14,1053507.0,4899,32,ok,True,True,1053507.0,Real Estate Investment Trusts,ok
AMTM,,,,,,,,,,,,,no_cik
AMZN,5961,43,0001193125-08-024707,2008-02-11,1018724.0,5961,43,ok,False,False,1018724.0,Retail-Catalog & Mail-Order Houses,ok
AN,5500,43,0000950144-08-001449,2008-02-28,350698.0,5500,43,ok,False,False,350698.0,Retail-Auto Dealers & Gasoline Stations,ok
ANDV,2911,30,0000950134-08-003806,2008-02-29,50104.0,2911,30,ok,False,False,50104.0,Petroleum Refining,ok
ANET,3576,35,0001596532-15-000004,2015-03-12,1596532.0,3576,35,ok,False,False,1596532.0,Computer Communications Equipment,ok
ANF,5651,43,0000950152-08-002415,2008-03-28,1018840.0,5651,43,ok,False,False,1018840.0,Retail-Family Clothing Stores,ok
ANR,,,,,,,,,,,,,no_cik
ANSS,7372,36,0001193125-08-041214,2008-02-28,1013462.0,7372,36,ok,False,False,1013462.0,Services-Prepackaged Software,ok
AON,6411,46,0001047469-08-001929,2008-02-28,315293.0,6321,46,ok,True,False,315293.0,"Insurance Agents, Brokers & Service",ok
AOS,3630,9,0001193125-08-034592,2008-02-20,91142.0,3621,22,ok,True,True,91142.0,Household Appliances,ok
APA,1311,30,0001784031-22-000009,2022-02-22,1841666.0,1311,30,ok,False,False,1841666.0,Crude Petroleum & Natural Gas,ok
APC,1311,30,0001193125-08-042186,2008-02-29,773910.0,1311,30,ok,False,False,773910.0,Crude Petroleum & Natural Gas,ok
APD,2810,14,0000950123-07-016020,2007-11-28,2969.0,2810,14,ok,False,False,2969.0,Industrial Inorganic Chemicals,ok
APH,3678,37,0001104659-08-012896,2008-02-26,820313.0,3678,37,ok,False,False,820313.0,Electronic Connectors,ok
APO,6282,48,0001858681-23-000007,2023-03-01,1858681.0,6282,48,ok,False,False,1858681.0,Investment Advice,ok
APOL,8200,33,0000950153-07-001195,2007-05-22,929887.0,8200,33,ok,False,False,929887.0,Services-Educational Services,ok
APP,7370,36,0001751008-22-000005,2022-03-11,1751008.0,7370,36,ok,False,False,1751008.0,"Services-Computer Programming, Data Processing, Etc.",ok
APTV,3714,23,0001193125-12-067225,2012-02-17,1521332.0,3714,23,ok,False,False,1521332.0,Motor Vehicle Parts & Accessories,ok
ARE,6798,48,0001104659-08-013937,2008-02-29,1035443.0,6798,48,ok,False,False,1035443.0,Real Estate Investment Trusts,ok
ARES,6282,48,0001047469-15-002528,2015-03-20,1176948.0,6282,48,ok,False,False,1176948.0,Investment Advice,ok
ARG,5084,42,0000893220-07-002057,2007-05-30,804212.0,5084,42,ok,False,False,804212.0,Wholesale-Industrial Machinery & Equipment,ok
ARNC,,,,,,,,,,,,,no_cik
ATI,3317,19,0000950152-08-001416,2008-02-26,1018963.0,3317,19,ok,False,False,1018963.0,Steel Pipe & Tubes,ok
ATO,4924,31,0000950134-07-024659,2007-11-29,731802.0,4924,31,ok,False,False,731802.0,Natural Gas Distribution,ok
ATVI,7372,36,0001104659-07-047752,2007-06-14,718877.0,7372,36,ok,False,False,718877.0,Services-Prepackaged Software,ok
AV,3661,37,0001193125-10-275681,2010-12-07,1116521.0,3661,37,ok,False,False,1116521.0,Telephone & Telegraph Apparatus,ok
AVB,6798,48,0000950133-08-000889,2008-02-29,915912.0,6798,48,ok,False,False,915912.0,Real Estate Investment Trusts,ok
AVGO,3674,37,0001730168-18-000084,2018-12-21,1730168.0,3674,37,ok,False,False,1730168.0,Semiconductors & Related Devices,ok
AVP,2844,9,0001193125-08-034912,2008-02-21,8868.0,2844,9,ok,False,False,8868.0,"Perfumes, Cosmetics & Other Toilet Preparations",ok
AVY,2670,39,0000950134-08-003581,2008-02-27,8818.0,2670,39,ok,False,False,8818.0,Converted Paper & Paperboard Prods (No Contaners/Boxes),ok
AWK,4941,31,0001193125-09-040650,2009-02-27,1410636.0,4941,31,ok,False,False,1410636.0,Water Supply,ok
AXON,3480,26,0000950153-08-000423,2008-02-29,1069183.0,3480,26,ok,False,False,1069183.0,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",ok
AXP,6199,45,0001193125-08-042043,2008-02-28,4962.0,6199,45,ok,False,False,4962.0,Finance Services,ok
AYE,4911,31,0001193125-08-040224,2008-02-27,3673.0,4911,31,ok,False,False,3673.0,Electric Services,ok
AYI,3640,22,0001193125-07-229796,2007-10-30,1144215.0,5160,42,ok,True,True,1144215.0,Electric Lighting & Wiring Equipment,ok
AZO,5531,43,0001144204-07-055597,2007-10-22,866787.0,5531,43,ok,False,False,866787.0,Retail-Auto & Home Supply Stores,ok
BA,3721,24,0001193125-08-032328,2008-02-15,12927.0,3721,24,ok,False,False,12927.0,Aircraft,ok
BAC,6021,45,0001193125-08-041665,2008-02-28,70858.0,6021,45,ok,False,False,70858.0,National Commercial Banks,ok
BALL,3411,40,0000009389-08-000054,2008-02-25,9389.0,3411,40,ok,False,False,9389.0,Metal Cans,ok
BAX,3841,12,0000950137-08-002771,2008-02-26,10456.0,3841,12,ok,False,False,10456.0,Surgical & Medical Instruments & Apparatus,ok
BBBY,5700,43,0001104659-07-034862,2007-05-02,886158.0,5700,43,ok,False,False,886158.0,"Retail-Home Furniture, Furnishings & Equipment Stores",ok
BBWI,5990,43,0001193125-07-073368,2007-04-03,701985.0,5621,43,ok,True,False,701985.0,"Retail-Retail Stores, NEC",ok
BBY,5731,43,0001104659-07-034935,2007-05-02,764478.0,5731,43,ok,False,False,764478.0,"Retail-Radio, Tv & Consumer Electronics Stores",ok
BC,3510,21,0000014930-08-000028,2008-02-22,14930.0,3510,21,ok,False,False,14930.0,Engines & Turbines,ok
BCR,,,,,,,,,,,,,no_cik
BDX,3841,12,0000930413-07-008926,2007-11-23,10795.0,3841,12,ok,False,False,10795.0,Surgical & Medical Instruments & Apparatus,ok
BEAM,,,,,,,,,,,,,no_cik
BEN,6282,48,0001193125-07-255169,2007-11-29,38777.0,6282,48,ok,False,False,38777.0,Investment Advice,ok
BF-B,2080,4,0000014693-07-000066,2007-06-28,14693.0,2080,4,ok,False,False,14693.0,Beverages,ok
BG,2070,2,0001996862-24-000007,2024-02-22,1996862.0,2070,2,ok,False,False,1996862.0,Fats & Oils,ok
BHF,6311,46,0001167609-18-000005,2018-03-16,1685040.0,6311,46,ok,False,False,1685040.0,Life Insurance,ok
BHI,,,,,,,,,,,,,no_cik
BIG,5331,43,0001206774-07-000893,2007-04-04,768835.0,5331,43,ok,False,False,768835.0,Retail-Variety Stores,ok
BIIB,2836,13,0000950135-08-001029,2008-02-14,875045.0,2836,13,ok,False,False,875045.0,"Biological Products, (No Diagnostic Substances)",ok
BIO,3826,38,0000012208-08-000008,2008-02-29,12208.0,3826,38,ok,False,False,12208.0,Laboratory Analytical Instruments,ok
BJS,1389,30,0001193125-07-256094,2007-11-29,864328.0,1389,30,ok,False,False,864328.0,"Oil & Gas Field Services, NEC",ok
BKNG,4700,41,0001104659-08-014464,2008-03-03,1075531.0,7389,34,ok,True,True,1075531.0,Transportation Services,ok
BKR,3533,21,0001701605-18-000029,2018-02-23,1701605.0,3533,21,ok,False,False,1701605.0,Oil & Gas Field Machinery & Equipment,ok
BLDR,5211,43,0000950134-08-004136,2008-03-05,1316835.0,5211,43,ok,False,False,1316835.0,Retail-Lumber & Other Building Materials Dealers,ok
BLK,6211,48,0000950170-25-026584,2025-02-25,2012383.0,6211,48,ok,False,False,2012383.0,"Security Brokers, Dealers & Flotation Companies",ok
BMC,7372,36,0001362310-07-000954,2007-05-30,835729.0,7372,36,ok,False,False,835729.0,Services-Prepackaged Software,ok
BMS,2670,39,0001104659-08-014023,2008-02-29,11199.0,2670,39,ok,False,False,11199.0,Converted Paper & Paperboard Prods (No Contaners/Boxes),ok
BMY,2834,13,0001193125-08-035566,2008-02-22,14272.0,2834,13,ok,False,False,14272.0,Pharmaceutical Preparations,ok
BNY,6022,45,0001193125-08-041952,2008-02-28,1390777.0,6022,45,ok,False,False,1390777.0,State Commercial Banks,ok
BR,7389,34,0001193125-07-188068,2007-08-23,1383312.0,6199,45,ok,True,True,1383312.0,"Services-Business Services, NEC",ok
BRCM,,,,,,,,,,,,,no_cik
BRK-B,6331,46,0000950134-08-003848,2008-02-29,1067983.0,6331,46,ok,False,False,1067983.0,"Fire, Marine & Casualty Insurance",ok
BRO,6411,46,0001188112-08-000632,2008-02-29,79282.0,6411,46,ok,False,False,79282.0,"Insurance Agents, Brokers & Service",ok
BS,,,,,,,,,,,,,no_cik
BSX,3841,12,0001072613-08-000584,2008-02-28,885725.0,3841,12,ok,False,False,885725.0,Surgical & Medical Instruments & Apparatus,ok
BTU,1221,29,0000950137-08-002952,2008-02-28,1064728.0,1221,29,ok,False,False,1064728.0,Bituminous Coal & Lignite Surface Mining,ok
BWA,3714,23,0000908255-08-000021,2008-02-14,908255.0,3714,23,ok,False,False,908255.0,Motor Vehicle Parts & Accessories,ok
BX,6282,48,0001193125-08-053079,2008-03-12,1393818.0,6282,48,ok,False,False,1393818.0,Investment Advice,ok
BXLT,2834,13,0001193125-16-491806,2016-03-03,1620546.0,2834,13,ok,False,False,1620546.0,Pharmaceutical Preparations,ok
BXP,6798,48,0001193125-08-043857,2008-02-29,1037540.0,6798,48,ok,False,False,1037540.0,Real Estate Investment Trusts,ok
C,6021,45,0001193125-08-036445,2008-02-22,831001.0,6021,45,ok,False,False,831001.0,National Commercial Banks,ok
CA,,,,,,,,,,,,,no_cik
CAG,2000,2,0001193125-07-161690,2007-07-25,23217.0,2000,2,ok,False,False,23217.0,Food and Kindred Products,ok
CAH,5122,42,0000950152-07-007107,2007-08-24,721371.0,5122,42,ok,False,False,721371.0,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",ok
CAM,3533,21,0000941548-08-000007,2008-02-29,941548.0,3533,21,ok,False,False,941548.0,Oil & Gas Field Machinery & Equipment,ok
CARR,3585,21,0001783180-21-000011,2021-02-09,1783180.0,3585,21,ok,False,False,1783180.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,ok
CASY,5500,43,0001193125-07-147153,2007-06-29,726958.0,5500,43,ok,False,False,726958.0,Retail-Auto Dealers & Gasoline Stations,ok
CAT,3531,21,0000018230-08-000052,2008-02-22,18230.0,3531,21,ok,False,False,18230.0,Construction Machinery & Equip,ok
CB,6331,46,0001193125-08-042242,2008-02-29,896159.0,6331,46,ok,False,False,896159.0,"Fire, Marine & Casualty Insurance",ok
CBE,3670,37,0000950129-08-001096,2008-02-22,1141982.0,3640,22,ok,True,True,1141982.0,Electronic Components & Accessories,ok
