date,universe,with_cap,no_cap,no_cap_unmapped,no_cap_ambiguous,no_cap_no_facts,approximated,total_cap_usd_trn
2007-04-02,326,307,19,3,2,14,307,11.246099
2007-04-03,326,307,19,3,2,14,307,11.346500
2007-04-04,326,307,19,3,2,14,307,11.354710
2007-04-05,326,307,19,3,2,14,307,11.384707
2007-04-09,326,307,19,3,2,14,307,11.393482
2007-04-10,326,307,19,3,2,14,307,11.435884
2007-04-11,326,307,19,3,2,14,307,11.349527
2007-04-12,326,307,19,3,2,14,307,11.403209
2007-04-13,326,307,19,3,2,14,307,11.438147
2007-04-16,326,307,19,3,2,14,307,11.572655
2007-04-17,326,307,19,3,2,14,307,11.589177
2007-04-18,326,307,19,3,2,14,307,11.607736
2007-04-19,326,307,19,3,2,14,307,11.591814
2007-04-20,326,307,19,3,2,14,307,11.697032
2007-04-23,326,307,19,3,2,14,307,11.659184
2007-04-24,326,307,19,3,2,14,307,11.650681
2007-04-25,326,307,19,3,2,14,307,11.780022
2007-04-26,326,307,19,3,2,14,307,11.769531
2007-04-27,326,307,19,3,2,14,307,11.774295
2007-04-30,326,307,19,3,2,14,307,11.700346
2007-05-01,326,307,19,3,2,14,307,11.744472
2007-05-02,326,307,19,3,2,14,307,11.810675
2007-05-03,326,307,19,3,2,14,307,11.850048
2007-05-04,326,307,19,3,2,14,307,11.872144
2007-05-07,326,307,19,3,2,14,307,11.898185
2007-05-08,326,307,19,3,2,14,307,11.879522
2007-05-09,326,307,19,3,2,14,307,11.920725
2007-05-10,326,307,19,3,2,14,307,11.755371
2007-05-11,326,307,19,3,2,14,307,11.854394
2007-05-14,326,307,19,3,2,14,307,11.832222
2007-05-15,326,307,19,3,2,14,307,11.818107
2007-05-16,326,307,19,3,2,14,307,11.944504
2007-05-17,326,307,19,3,2,14,307,11.927724
2007-05-18,326,307,19,3,2,14,307,12.000162
2007-05-21,326,307,19,3,2,14,307,12.008631
2007-05-22,326,307,19,3,2,14,307,12.006440
2007-05-23,326,307,19,3,2,14,307,11.986025
2007-05-24,326,307,19,3,2,14,307,11.879804
2007-05-25,327,308,19,3,2,14,308,11.958306
2007-05-29,327,308,19,3,2,14,308,11.974046
2007-05-30,327,308,19,3,2,14,308,12.061337
2007-05-31,327,308,19,3,2,14,308,12.050801
2007-06-01,327,308,19,3,2,14,308,12.087990
2007-06-04,327,308,19,3,2,14,308,12.100767
2007-06-05,327,308,19,3,2,14,308,12.033513
2007-06-06,327,308,19,3,2,14,308,11.926914
2007-06-07,327,308,19,3,2,14,308,11.718975
2007-06-08,327,308,19,3,2,14,308,11.859721
