date,names,industries_present,thin_industries,thin_names,eliminated_industry,r2_weighted,r2_equal,cond_full,cond_style,industry_term,country,cap_weighted_return,style_term,cap_weighted_specific,identity_gap,market_excess,reclassified,with_cap,excluded_no_sic,excluded_no_exposure,excluded_no_return
2007-04-03,305,44,13,18,Banks,0.377001,0.336746,49.0355,3.4737,-1.21973e-19,0.00919029,0.00897373,-6.95997e-06,-0.000209606,-0.000216566,0.00896021,11,307,0,2,0
2007-04-04,305,44,13,18,Banks,0.300107,0.240998,48.951,3.47436,-1.0842e-19,0.000275447,0.00050786,5.73003e-06,0.000226683,0.000232413,0.000538589,11,307,0,2,0
2007-04-05,305,44,13,18,Banks,0.164383,0.137426,48.8398,3.48958,0,0.00272195,0.00279519,-3.73785e-06,7.69774e-05,7.32395e-05,0.00280035,11,307,0,2,0
2007-04-09,305,44,13,18,Banks,0.281423,0.211982,48.8324,3.52459,-5.42101e-20,0.000642324,0.000562532,4.1553e-06,-8.39469e-05,-7.97916e-05,0.000570788,11,307,0,2,0
2007-04-10,305,44,13,18,Banks,0.363878,0.287777,48.7969,3.52118,1.0842e-19,0.00310007,0.00353519,-1.40355e-06,0.000436522,0.000435118,0.00352497,11,307,0,2,0
2007-04-11,305,44,13,18,Banks,0.213256,0.187111,48.7895,3.52213,2.71051e-20,-0.00755028,-0.00762406,9.14506e-07,-7.46896e-05,-7.37751e-05,-0.00761439,11,307,0,2,0
2007-04-12,305,44,13,18,Banks,0.44055,0.403603,48.6608,3.52616,2.1684e-19,0.00468554,0.00454954,-1.04045e-05,-0.000125594,-0.000135999,0.00454324,11,307,0,2,0
2007-04-13,305,44,13,18,Banks,0.269408,0.275021,48.7627,3.547,1.0842e-19,0.00323696,0.0028533,-1.2278e-06,-0.000382428,-0.000383655,0.00286384,11,307,0,2,0
2007-04-16,305,44,13,18,Banks,0.254411,0.217908,48.7057,3.51711,-4.33681e-19,0.0116507,0.0115625,-7.84836e-06,-8.042e-05,-8.82684e-05,0.0115596,11,307,0,2,0
2007-04-17,305,44,13,18,Banks,0.339569,0.3474,48.6381,3.51431,4.33681e-19,0.00145135,0.00124978,4.17577e-06,-0.000205751,-0.000201576,0.00122776,11,307,0,2,0
2007-04-18,305,44,13,18,Banks,0.388496,0.355468,48.6622,3.50604,-4.33681e-19,0.00137738,0.00138993,-4.15207e-06,1.66997e-05,1.25477e-05,0.00140847,11,307,0,2,0
2007-04-19,305,44,13,18,Banks,0.296592,0.250226,48.8971,3.47806,2.71051e-19,-0.00175046,-0.00153244,5.61822e-08,0.000217972,0.000218028,-0.00155071,11,307,0,2,0
2007-04-20,305,44,13,18,Banks,0.201682,0.156211,48.7292,3.49415,-4.33681e-19,0.0091366,0.00890181,-3.65872e-06,-0.000231131,-0.00023479,0.00891532,11,307,0,2,0
2007-04-23,305,44,13,18,Banks,0.378564,0.35177,48.5532,3.50588,4.06576e-20,-0.0037421,-0.00340677,-1.39383e-06,0.000336724,0.00033533,-0.00340816,11,307,0,2,0
2007-04-24,305,44,13,18,Banks,0.244978,0.227283,48.6127,3.5276,0,-0.000972496,-0.000914503,-1.57338e-07,5.81506e-05,5.79932e-05,-0.000929299,11,307,0,2,0
2007-04-25,305,44,13,18,Banks,0.139016,0.135848,48.6561,3.56445,-1.0842e-19,0.0108561,0.0109921,-2.23951e-05,0.000158398,0.000136003,0.0110059,11,307,0,2,0
