horizon,date,observations,k_over_t_eff,cond_style,repair_fired,repair_floored,bartlett_fired,scored,min_eig_ewma,min_eig_newey_west,min_eig_psd_repair,min_eig_eigen_a1,min_eig_eigen_a1.4,amplitude,lambda_raw_top,lambda_raw_bottom,lambda_raw_bulk_min,factors_present,unentered_names,names,singletons,short_history,exact_zero,structural_r2,max_z,bartlett_fallbacks_specific,target_shift,lambda_f2_a1,lambda_f2_a1.4,lambda_s2
short,2007-06-29,62,0.84044,3.54111,True,1,False,False,0.18242,-0.829026,-6.42326e-13,,,,,,,,,,,,,,,,,,,
short,2007-07-31,83,0.638288,3.32336,False,0,False,False,1.63022,0.318674,0.318674,-1.07663e-12,-2.31818e-11,2.77824,0.855647,10.1009,0.887216,51,0,305,8,8,0,0.802045,9.07076,0,0.0175101,,,
short,2007-08-31,106,0.51142,2.87431,False,0,False,False,3.37392,1.21419,1.21419,-1.91687e-11,-5.90576e-12,1.57149,0.893653,4.76525,0.90929,51,0,305,8,8,0,0.817877,5.06307,0,0.0155487,1.72374,1.54136,2.15621
short,2007-09-28,125,0.443545,2.82839,False,0,False,False,3.41832,1.33321,1.33321,-1.04033e-11,-9.28412e-13,1.24868,0.904581,3.9626,0.893816,51,0,306,8,8,0,0.819276,9.81887,0,0.0177369,1.33489,1.22102,1.49253
short,2007-10-31,148,0.386394,2.94161,False,0,False,False,7.21217,3.46106,3.46106,-4.07743e-12,-4.53249e-12,0.913089,0.925797,2.48461,0.882804,51,0,308,8,9,0,0.83101,21.8235,0,0.0204796,1.36862,1.27946,1.53871
short,2007-11-30,169,0.349165,2.90574,False,0,False,False,21.4463,13.2172,13.2172,-7.02615e-12,-5.48466e-12,0.723926,0.9416,1.78765,0.910582,51,0,308,8,8,0,0.822605,18.6487,0,0.0104108,1.55418,1.48015,1.52208
short,2007-12-31,189,0.322438,3.01077,False,0,False,False,32.7177,22.3172,22.3172,-8.25869e-13,-6.70026e-12,0.635129,0.941799,1.58446,0.914099,51,0,311,8,8,0,0.793828,17.4088,1,0.0211368,1.36867,1.31334,1.38059
short,2008-01-31,210,0.300788,3.19678,False,0,False,False,44.9958,32.5587,32.5587,-4.65574e-12,-1.44777e-12,0.561199,0.959069,1.50658,0.917104,51,0,311,8,8,0,0.821164,16.7568,0,0.013532,1.87141,1.81815,1.73175
short,2008-02-29,230,0.284615,3.21742,False,0,False,False,57.1614,44.5587,44.5587,-4.64274e-12,-2.29201e-12,0.515249,0.95597,1.42625,0.921976,51,0,311,8,8,0,0.843303,17.9423,0,0.0145845,1.6336,1.59313,1.57376
short,2008-03-31,250,0.271684,3.13912,False,0,False,False,74.3727,52.4651,52.4651,-2.1593e-11,-1.07093e-11,0.473603,0.966508,1.36342,0.925807,51,0,311,8,8,0,0.848782,24.0676,0,0.0259974,1.59792,1.56551,1.54125
short,2008-04-30,272,0.260307,3.23234,False,0,False,False,86.3113,58.7687,58.7687,-1.42142e-11,-1.36781e-12,0.43716,0.968048,1.31495,0.924698,51,0,311,8,8,0,0.843872,29.9824,0,0.0162131,1.50594,1.48068,1.4276
short,2008-05-30,293,0.251593,3.06907,False,0,False,False,87.5426,62.2283,62.2283,-4.72923e-12,-8.0759e-14,0.407954,0.96763,1.28512,0.931198,51,0,311,8,8,0,0.846678,26.7864,0,0.0163389,1.31424,1.29496,1.23802
short,2008-06-30,314,0.244512,3.12366,False,0,False,False,102.127,72.7746,72.7746,-6.32269e-12,-2.28027e-12,0.380806,0.967606,1.25136,0.932665,51,0,311,8,9,0,0.855468,26.6541,0,0.0255677,1.29464,1.27903,1.21054
short,2008-07-31,336,0.238474,3.44939,False,0,False,False,126.323,97.2118,97.2118,-3.78025e-12,-3.60645e-12,0.357756,0.970265,1.21958,0.937872,51,0,311,8,8,0,0.842969,27.2058,0,0.0197487,1.71092,1.69707,1.5281
short,2008-08-29,357,0.233763,3.29673,False,0,False,False,131.616,102.029,102.029,-8.42041e-12,-6.10985e-12,0.340364,0.96938,1.20436,0.929612,51,0,311,8,8,0,0.844936,24.6355,0,0.0202908,1.4955,1.48472,1.35527
short,2008-09-30,378,0.229877,3.44036,False,0,False,False,155.354,161.451,161.451,-1.9123e-11,-7.90877e-12,0.315757,0.971462,1.19567,0.943404,51,0,313,8,8,0,0.87738,25.5822,0,0.0196958,2.18456,2.17496,2.12325
short,2008-10-31,401,0.226386,2.77682,False,0,False,False,239.639,205.309,205.309,-6.65942e-11,-2.76378e-11,0.287439,0.976536,1.18457,0.960854,51,0,314,8,9,0,0.863276,21.0721,0,0.0224806,2.93812,2.93137,3.04683
short,2008-11-28,420,0.223994,3.53648,False,0,False,False,325.008,243.584,243.584,-3.54762e-12,-6.44908e-11,0.274582,0.965252,1.17241,0.934077,51,0,314,8,8,0,0.881426,17.1218,0,0.0202583,2.79934,2.7937,2.85612
short,2008-12-31,442,0.22168,3.94645,False,0,False,False,366.936,258.782,258.782,-4.93972e-11,-2.41374e-11,0.263449,0.963081,1.1631,0.93709,51,0,316,7,8,0,0.991219,15.6511,0,0.0453899,2.36851,2.36417,2.35062
short,2009-01-30,462,0.219928,3.92856,False,0,False,True,374.388,280.549,280.549,-1.57069e-11,-8.40117e-13,0.253346,0.967735,1.15299,0.930417,51,0,316,7,7,0,0.87787,1.03627e+14,0,0.0234999,2.08497,2.08215,2.46467
short,2009-02-27,481,0.218521,4.61155,False,0,False,True,410.73,316.517,316.517,-2.35541e-11,-2.41323e-11,0.244987,0.969995,1.14704,0.92962,51,0,316,7,7,0,0.882552,5.90106e+13,0,0.0144715,1.87507,1.87295,2.14642
short,2009-03-31,503,0.217155,5.24499,False,0,False,True,409.295,332.288,332.288,-1.927e-11,-1.63701e-11,0.236327,0.961514,1.1423,0.943039,51,0,317,7,7,0,0.879797,1.62784e+13,0,0.00937908,1.76554,1.76403,1.82813
short,2009-04-30,524,0.216069,5.35548,False,0,False,True,436.98,345.978,345.978,-2.29103e-12,-3.41336e-11,0.232134,0.964912,1.13629,0.939391,51,0,317,7,7,0,0.888773,31.8513,0,0.0215232,1.64114,1.64,1.6094
short,2009-05-29,544,0.215199,4.4664,False,0,False,True,428.926,334.175,334.175,-5.46056e-12,-8.53988e-12,0.227392,0.967835,1.13285,0.938059,51,0,317,7,7,0,0.884335,12.0414,0,0.0209411,1.40517,1.40435,1.36692
short,2009-06-30,566,0.214398,3.65431,False,0,False,True,387.309,290.051,290.051,-1.21326e-11,-2.54077e-12,0.2207,0.967674,1.12667,0.938646,51,0,318,7,7,0,0.851816,13.1329,0,0.0189919,1.13888,1.13829,1.0875
short,2009-07-31,588,0.213732,3.57575,False,0,False,True,363.728,281.905,281.905,-1.43136e-11,-3.6497e-13,0.215871,0.966335,1.12221,0.94227,51,0,318,7,7,0,0.868841,12.4259,0,0.0188536,0.976218,0.975855,0.950581
short,2009-08-31,609,0.213201,3.46852,False,0,False,True,326.139,268.334,268.334,-6.83741e-11,-4.71679e-11,0.210069,0.966546,1.11915,0.944345,51,0,319,7,7,0,0.866579,8.84967,0,0.0185932,0.79619,0.795975,0.807391
short,2009-09-30,630,0.212756,3.35186,False,0,False,True,300.29,253.695,253.695,-1.48233e-11,-5.70085e-11,0.205073,0.966509,1.11361,0.941518,51,0,319,7,7,0,0.85694,8.49959,0,0.0146124,0.708779,0.708655,0.713567
short,2009-10-30,652,0.212366,3.44331,False,0,False,True,271.797,231.299,231.299,-3.02751e-11,-3.2991e-11,0.200403,0.966915,1.11056,0.942164,51,0,320,7,8,0,0.871212,10.2518,0,0.0111809,0.649894,0.649885,0.682241
short,2009-11-30,672,0.212069,3.50357,False,0,False,True,243.532,205.027,205.027,-1.01667e-11,-1.02663e-11,0.196168,0.966866,1.10582,0.943597,51,0,320,7,7,0,0.858393,11.1861,0,0.0112756,0.559943,0.559963,0.624763
short,2009-12-31,694,0.211794,3.34471,False,0,False,True,223.119,184.208,184.208,-4.3505e-12,-7.99566e-12,0.191923,0.968039,1.1025,0.943412,51,0,319,7,7,0,0.844649,12.1959,1,0.0129177,0.500742,0.500778,0.567845
short,2010-01-29,713,0.211594,3.47285,False,0,False,True,204.871,169.586,169.586,-1.53142e-11,-1.55361e-11,0.188177,0.966956,1.09949,0.948624,51,0,319,7,7,0,0.85693,12.4569,0,0.014391,0.544063,0.544131,0.608986
short,2010-02-26,732,0.211423,3.42084,False,0,False,True,186.027,149.197,149.197,-1.22451e-11,-8.71687e-12,0.185115,0.967514,1.09719,0.951721,51,0,321,7,9,0,0.865307,13.5696,0,0.0139203,0.523586,0.523694,0.609146
short,2010-03-31,755,0.211249,3.43339,False,0,False,True,165.113,134.839,134.839,-1.258e-11,6.46673e-13,0.181196,0.967476,1.09441,0.952271,51,0,321,7,7,0,0.850812,15.0544,0,0.0140344,0.478608,0.478697,0.561353
short,2010-04-30,776,0.211117,3.6563,False,0,False,True,153.553,122.432,122.432,-1.10201e-11,-4.66292e-12,0.17814,0.967399,1.0917,0.951246,51,0,323,6,6,0,0.84679,2.01814e+14,0,0.0194964,0.519487,0.519647,0.651408
