date,cell,configuration,nav_pre,gamma_risk_spec,gamma_risk_used,gamma_risk_recovered,te_multiplier_first_pass,te_multiplier,information_ratio,information_ratio_without_identity,cos_theta,psi_unit,ledoit_wolf_intensity,forecast_volatility,te_attainment,turnover,trading_cost_priced,status,rung,attempt,relaxed,fell_back,at_lower_bound,largest_weight,effective_assets,term_alpha,term_misalignment,term_trading_cost,position_box_binding,position_box_multiplier,position_box_value,position_box_violation,turnover_binding,turnover_multiplier,turnover_value,turnover_violation,tracking_error_binding,tracking_error_multiplier,tracking_error_value,tracking_error_violation,stress_volatility,w_commodity,w_dev_ex_us_equity,w_em_equity,w_gold,w_govt_10y,w_govt_2y,w_govt_30y,w_govt_5y,w_hy_credit,w_ig_credit,w_tips_10y,w_us_large_equity,w_us_small_equity,resolve_l1,resolve_status,resolve_te_ratio,resolve_objective_gap,resolve_verdict,adv_participation_binding,adv_participation_multiplier,adv_participation_value,adv_participation_violation
2009-05-29,1A,sample_equal_weight/none/patient,8119893.01,55.33720704,4.144315551,4.144315551,0.1867129263,0.1867129263,2.493094875,1.864534872,1,0,,0.02252638849,0.9999999892,1,0,optimal,0,CLARABEL,,False,8,0.9574905344,1.089024883,0.01237481512,0,0,False,4.886708248e-09,0.9574905344,0,False,4.628541793e-09,1,0,True,0.1867129263,0.02252638849,0,,5.983901438e-09,9.277014622e-09,0.004494002755,0.03800453389,9.050419846e-08,9.204278076e-06,1.180015482e-08,0.9574905344,1.158991409e-06,3.438120785e-07,7.166491967e-08,1.257311087e-08,2.002614864e-08,,,,,,,,,
2009-06-30,1A,sample_equal_weight/none/patient,8049264.735,22.11924848,3.252838597,3.252838597,0.1465494135,0.1465494135,0.9965335796,0.9532987489,1,0,,0.02252638844,0.9999999869,1.766477488,0,optimal,0,CLARABEL,,False,7,0.6109675096,2.323110039,0.006559257188,0,0,False,1.458403582e-10,0.6109675096,0,False,4.865481752e-09,1.766477488,0,True,0.1465494135,0.02252638844,0,0.0066439575,3.288318865e-09,3.600253653e-09,0.02050078241,0.2131771389,1.234037975e-08,0.6109675096,2.029022834e-09,0.07598171291,0.07424161895,0.005131171462,3.730097615e-08,3.312327312e-09,3.935840888e-09,,,,,,,,,
2009-07-31,1A,sample_equal_weight/none/patient,8161624.688,24.42336334,2.65515118,2.65515118,0.1196219353,0.1196219353,1.100340354,0.9503160083,1,0,,0.02252638371,0.999999777,0.9153197509,0,optimal,0,CLARABEL,,False,8,0.3663551903,4.111720848,0.006098702738,0,0,False,2.392807454e-10,0.3663551903,0,False,1.456529081e-09,0.9153197509,0,True,0.1196219353,0.02252638371,0,0.006607330968,5.978120418e-09,7.594219119e-09,2.582310182e-08,0.1666741611,6.352725593e-08,0.2167656478,6.228459929e-09,0.3663551903,0.08687799912,0.1633267823,9.391835649e-08,7.121126623e-09,9.111344105e-09,,,,,,,,,
2009-08-31,1A,sample_equal_weight/none/patient,8207171.937,17.79051087,4.643592454,4.643592454,0.2092067375,0.2092067375,0.8015119273,0.8099933565,1,0,,0.0225263887,0.9999999985,0.2709355928,0,optimal,0,CLARABEL,,False,8,0.2814253814,4.478968193,0.002800183928,0,0,False,1.321249478e-11,0.2814253814,0,False,1.044707351e-10,0.2709355928,0,True,0.2092067375,0.0225263887,0,0.00503952358,4.481310576e-10,7.499420699e-10,3.239656512e-08,0.1170418727,6.463506281e-09,0.2788949732,6.129422693e-10,0.2814253814,0.1449373885,0.1777003349,6.768576991e-09,7.150541468e-10,1.145446118e-09,,,,,,,,,
2009-09-30,1A,sample_equal_weight/none/patient,8383001.319,27.683257,6.737818729,6.737818729,0.3035574478,0.3035574478,1.247207618,1.642693045,1,0,,0.02252638876,1.000000001,0.9231067037,0,optimal,0,CLARABEL,,False,8,0.6039400361,2.163744197,0.004100044571,0,0,False,7.459473941e-11,0.6039400361,0,False,5.208270242e-10,0.9231067037,0,True,0.3035574478,0.02252638876,0,0.005448874328,1.456621473e-09,6.685061928e-09,0.00429343081,0.06715368633,6.343954524e-09,0.3040870226,1.357976677e-09,8.570453321e-08,0.02052570307,0.6039400361,7.743688378e-09,5.366896771e-09,6.381693334e-09,,,,,,,,,
2009-10-30,1A,sample_equal_weight/none/patient,8360516.842,52.44501876,7.325296672,7.325296672,0.3300249609,0.3300249609,2.36279376,2.937759266,1,0,,0.02252638866,0.9999999965,0.2192748341,0,optimal,0,CLARABEL,,False,7,0.5634962484,2.531149272,0.00314214351,0,0,False,1.016334063e-10,0.5634962484,0,False,4.97348768e-10,0.2192748341,0,True,0.3300249609,0.02252638866,0,0.00676867613,1.961226157e-09,5.444418278e-09,0.00139252328,0.1328171685,3.078191665e-08,0.2356397869,3.398832535e-09,0.0004668571198,0.06618732229,0.5634962484,4.08448689e-08,5.331826384e-09,5.781128145e-09,,,,,,,,,
2009-11-30,1A,sample_equal_weight/none/patient,8585800.739,70.27935635,7.906114125,7.906114125,0.3561924003,0.3561924003,3.166280202,3.177843571,1,0,,0.0225263887,0.9999999982,0.6415575511,0,optimal,0,CLARABEL,,False,7,0.2753469121,4.73758064,0.002920637942,0,0,False,7.210083144e-11,0.2753469121,0,False,7.348444318e-10,0.6415575511,0,True,0.3561924003,0.0225263887,0,0.006633241021,3.706878511e-09,7.510523255e-09,0.008711580318,0.2365407181,2.567126828e-08,0.1922078786,2.492642784e-09,0.1206710065,0.1665218182,0.2753469121,3.457976023e-08,8.108568683e-09,4.111615353e-09,,,,,,,,,
2009-12-31,1A,sample_equal_weight/none/patient,8453723.527,115.4301534,13.24818094,13.24818094,0.5968673476,0.5968673476,5.200449014,5.368502477,1,0,,0.02252638891,1.000000008,0.3536856547,0,optimal,0,CLARABEL,,False,8,0.2955339049,4.438932178,0.005498333982,0,0,False,9.871694452e-11,0.2955339049,0,False,7.997158899e-10,0.3536856547,0,True,0.5968673476,0.02252638891,0,0.003633185649,3.835317226e-09,5.579105639e-09,3.199988257e-08,0.2955339049,1.722196933e-08,0.0793836817,2.008691658e-09,0.225139923,0.1779211595,0.2220212225,3.177180888e-08,1.165666211e-08,4.347783836e-09,,,,,,,,,
2010-01-29,1A,sample_equal_weight/none/patient,8459174.486,85.71593743,9.358272331,9.358272331,0.4216161609,0.4216161609,3.861741055,3.71435222,1,0,,0.0225263887,0.9999999986,0.5798019236,0,optimal,0,CLARABEL,,False,9,0.3443276821,3.742001094,0.003705367228,0,0,False,1.194056328e-11,0.3443276821,0,False,1.025540729e-10,0.5798019236,0,True,0.4216161609,0.0225263887,0,0.004656144113,5.613226775e-10,5.204090322e-10,7.003216903e-10,0.2309364696,1.85539503e-09,0.1616568473,3.549964034e-10,4.230979321e-09,0.2630789837,0.3443276821,7.501904592e-09,8.228544732e-10,6.38084228e-10,,,,,,,,,
2010-02-26,1A,sample_equal_weight/none/patient,8586176.342,55.6989411,8.346672696,8.346672696,0.3760407876,0.3760407876,2.509391999,2.681728635,1,0,,0.02252638874,1,0.464060389,0,optimal,0,CLARABEL,,False,8,0.5516166376,2.500526655,0.00513983506,0,0,False,7.040804758e-11,0.5516166376,0,False,3.643688757e-10,0.464060389,0,True,0.3760407876,0.02252638874,0,0.005905678493,1.064406351e-09,1.970428315e-09,2.824521543e-09,0.1559159866,9.715023906e-09,0.002760801728,9.042257157e-10,3.031894723e-07,0.2659988343,0.5516166376,0.02370741244,3.974686683e-09,3.713613351e-09,,,,,,,,,
2010-03-31,1A,sample_equal_weight/none/patient,8658793.962,76.02735302,6.858165926,6.858165926,0.3089794234,0.3089794234,3.425243418,3.553414122,1,0,,0.02252638876,1.000000001,0.3224093244,0,optimal,0,CLARABEL,,False,10,0.4154709781,2.819702965,0.005887719429,0,0,False,1.107580034e-10,0.4154709781,0,False,5.077418318e-10,0.3224093244,0,True,0.3089794234,0.02252638876,0,0.004087559469,2.006477251e-09,2.829033872e-09,4.681593071e-09,0.2174508079,3.622739048e-08,1.344587349e-08,2.316190365e-09,6.088897152e-08,0.3670780533,0.4154709781,1.859798373e-08,6.780960655e-09,1.294176686e-08,,,,,,,,,
2010-04-30,1A,sample_equal_weight/none/patient,8923563.228,72.08566845,6.688130636,6.688130636,0.3013188613,0.3013188613,3.24765958,3.372910765,1,0,,0.02252638873,0.9999999997,0.3192840621,0,optimal,0,CLARABEL,,False,9,0.4329716494,2.784611126,0.005779351293,0,0,False,1.83172939e-11,0.4329716494,0,False,1.245630581e-10,0.3192840621,0,True,0.3013188613,0.02252638873,0,0.003865410819,4.644762743e-10,9.758344923e-10,2.931772986e-09,0.08087022647,3.064232327e-09,2.767746802e-09,4.228973687e-10,3.581353392e-09,0.4329716494,0.3962738263,2.419772373e-09,4.859166357e-09,0.08988427634,,,,,,,,,
2010-05-28,1A,sample_equal_weight/none/patient,8658222.068,111.7117303,8.515217535,8.515217535,0.3836342007,0.3836342007,5.032923726,5.294823003,1,0,,0.02252638875,1.000000001,0.7177792868,0,optimal,0,CLARABEL,,False,7,0.3950375704,4.054707071,0.004868823953,0,0,False,7.583255704e-11,0.3950375704,0,False,6.891205319e-10,0.7177792868,0,True,0.3836342007,0.02252638875,0,0.007356694737,1.944082046e-09,2.095367568e-09,3.709520941e-09,0.1546444549,0.0457593949,1.330628462e-08,4.18410558e-09,3.537708155e-08,0.0745239239,0.3950375704,0.1173297701,9.212059911e-09,0.212704816,,,,,,,,,
2010-06-30,1A,sample_equal_weight/none/patient,8702745.145,48.44094044,8.534531045,8.534531045,0.384504328,0.384504328,2.18239891,2.97113236,1,0,,0.02252638873,0.9999999996,1.354093384,0,optimal,0,CLARABEL,,False,9,0.4961548477,2.652872543,0.008943498379,0,0,False,1.397225752e-11,0.4961548477,0,False,1.807305422e-10,1.354093384,0,True,0.384504328,0.02252638873,0,0.00545293054,2.43193448e-10,3.147201945e-10,6.264449037e-10,0.3370879933,0.4961548477,2.552513585e-09,8.930357266e-10,6.216306266e-09,0.1236772379,6.0162932e-09,3.384903794e-09,1.085821181e-09,0.04307989978,,,,,,,,,
2010-07-30,1A,sample_equal_weight/none/patient,8681754.967,61.38841408,6.42098995,6.42098995,0.2892834314,0.2892834314,2.765718559,3.532987319,1,0,,0.02252638874,1,0.1743025078,0,optimal,0,CLARABEL,,False,10,0.5899848156,2.194861564,0.009999424802,0,0,False,3.520082261e-11,0.5899848156,0,False,1.635949474e-10,0.1743025078,0,True,0.2892834314,0.02252638874,0,0.005047560318,5.670765968e-10,8.228237954e-10,2.330239205e-09,0.3133388064,0.5899848156,2.444044101e-09,5.377074162e-09,5.106207566e-09,0.09667631626,3.661430652e-08,4.108675851e-09,1.486865081e-09,2.883954903e-09,,,,,,,,,
2010-08-31,1A,sample_equal_weight/none/patient,9119976.932,114.7600077,1.432672505,1.432672505,0.06454587555,0.06454587555,5.170257092,5.493680127,1,0,,0.02252638832,0.9999999815,0.6408184566,0,optimal,0,CLARABEL,,False,10,0.5884736502,2.229601425,0.00500633775,0,0,False,6.927864151e-11,0.5884736502,0,False,4.387386977e-10,0.6408184566,0,True,0.06454587555,0.02252638832,0,0.003773785076,1.551834276e-09,3.212214633e-09,0.2993913389,1.344941183e-08,0.5884736502,2.811187789e-09,6.800298645e-09,6.434726554e-09,0.1121349464,1.542669894e-08,5.472806069e-09,3.730573959e-09,5.601374445e-09,,,,,,,,,
