model,label,halflife,parameters,parameters_min,parameters_max,kish_volatility,kish_correlation,k_over_t,k_over_t_min,k_over_t_max,k_over_t_asymptotic,bias_monthly,months,interval_lower,interval_upper,bias_daily,days,comparand_window,comparand_t,predicted_bias_sd,predicted_variance_multiplier,upper_bound_bias_sd,tracks,expected,verdict,extra_family2_monthly,extra_family2_daily,extra_min_var_realised_volatility,extra_b_factor,extra_b_factor_lower,extra_b_factor_upper,extra_b_specific,extra_b_specific_lower,extra_b_specific_upper,extra_liquidated_cells,extra_risk_model_term,extra_cost_term,extra_sharpe_net,extra_turnover_annual,extra_shipped,extra_monte_carlo_standard_error,extra_seed,extra_joint_excess_variance,extra_correlation_leg_variance,extra_volatility_leg_variance
macro,"macro K=6, tau=21",21,6,6,6,60.14165333,1083.857391,0.09976446719,0.0990120368,0.4081007307,0.09902102579,1.647051623,188,1.495696894,1.832754964,1.328672256,3874,correlation,1083.857391,1.005566599,1.011164185,1.110820406,False,not_track,HOLDS,0.9784416183,1.03055653,5.203564871,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=21",21,13,13,13,60.14165333,1083.857391,0.2161563456,0.2145260797,0.8842182498,0.2145455559,1.501141411,188,1.363195004,1.670393528,1.265033672,3874,volatility,60.14165333,1.275764618,1.627575359,1.275764618,False,,reported,0.9624725284,,4.728074409,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=42",42,6,6,6,118.9879256,1083.857391,0.05042528448,0.04950938918,0.4020315341,0.0495105129,1.64258734,188,1.491642853,1.827787337,1.330604878,3874,correlation,1083.857391,1.005566599,1.011164185,1.053103019,False,not_track,HOLDS,0.9590772691,1.02000895,5.214326618,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=42",42,13,13,13,118.9879256,1083.857391,0.109254783,0.1072703432,0.8710683239,0.1072727779,1.366425911,188,1.240859098,1.520488998,1.134566537,3874,volatility,118.9879256,1.122655481,1.260355329,1.122655481,False,,reported,0.9395299784,,4.582778874,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=63",63,6,6,6,176.5223484,1083.857391,0.03399003048,0.03300667564,0.4009034295,0.0330070086,1.641662308,188,1.490802826,1.826758009,1.331708855,3874,correlation,1083.857391,1.005566599,1.011164185,1.035186004,False,not_track,HOLDS,0.9474179834,1.01451185,5.211445964,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=63",63,13,13,13,176.5223484,1083.857391,0.07364506603,0.07151446389,0.8686240973,0.0715151853,1.311096821,188,1.190614438,1.458921611,1.08866405,3874,volatility,176.5223484,1.079499837,1.165319898,1.079499837,False,,reported,0.9258907178,,4.562437007,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=84",84,6,6,6,232.7434111,1083.857391,0.02577946234,0.02475511598,0.4005082827,0.02475525645,1.641728177,188,1.490862642,1.826831305,1.332204188,3874,correlation,1083.857391,1.005566599,1.011164185,1.026461629,False,not_track,HOLDS,0.943400152,1.01058393,5.204306713,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=84",84,13,13,13,232.7434111,1083.857391,0.05585550173,0.05363608463,0.8677679457,0.05363638897,1.279267332,188,1.161709898,1.423503379,1.066045017,3874,volatility,232.7434111,1.059159908,1.121819711,1.059159908,False,,reported,0.9192389628,,4.569831505,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=126",126,6,6,6,341.2444834,1083.857391,0.01758270182,0.0165034627,0.4002259363,0.0165035043,1.642266938,188,1.491351894,1.82743081,1.332508202,3874,correlation,1083.857391,1.005566599,1.011164185,1.017897386,False,not_track,HOLDS,0.9358986721,1.006063129,5.186959333,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=126",126,13,13,13,341.2444834,1083.857391,0.03809585395,0.03575750251,0.8671561953,0.03575759265,1.258969419,188,1.143277249,1.400916898,1.045783469,3874,volatility,341.2444834,1.039604626,1.080777778,1.039604626,False,,reported,0.9086240656,,4.60448053,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=168",168,6,6,6,444.4904256,1083.857391,0.01349860347,0.01237761334,0.4001270956,0.01237762822,1.642691295,188,1.491737255,1.827903013,1.33231388,3874,correlation,1083.857391,1.005566599,1.011164185,1.013683309,False,not_track,HOLDS,0.9326448552,1.003164667,5.170446617,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=168",168,13,13,13,444.4904256,1083.857391,0.02924697418,0.02681816223,0.8669420406,0.02681819449,1.252797632,188,1.137672614,1.394049249,1.039952504,3874,volatility,444.4904256,1.030128131,1.061163966,1.030128131,False,,reported,0.8987984954,,4.638540978,,,,,,,,,,,,,,,,,
