variant,date,n_variables,observations,n_over_t,noise_variance,lambda_plus,lambda_minus,band_half_width,survivors,largest_eigenvalue,diagonal_deviation,fit_sum_squared_error,fit_converged,component_alignment,survivors_after_rescale
denoised,2008-04-15,13,252,0.05158730159,0.9999941929,1.50583532,0.5973270703,0.2271283813,3,6.506666784,0.4989873883,990.7996946,1,1,3
denoised,2008-04-16,13,253,0.05138339921,0.999994214,1.504732826,0.598021806,0.2266790665,3,6.556331491,0.4961875528,996.7748313,1,0.9999337513,3
denoised,2008-04-17,13,254,0.05118110236,0.9999941847,1.503637174,0.598712805,0.2262324079,3,6.540258754,0.4943851373,997.7488463,1,0.9999480596,3
denoised,2008-04-18,13,255,0.05098039216,0.9999941706,1.502548391,0.5994001397,0.2257883791,3,6.535051708,0.4885171479,1003.863123,1,0.9998333265,3
denoised,2008-04-21,13,256,0.05078125,0.9999941704,1.501466406,0.6000838423,0.2253469547,3,6.530672356,0.4881482003,1008.042916,1,0.9999991622,3
denoised,2008-04-22,13,257,0.05058365759,0.999994173,1.500391133,0.6007639385,0.2249081092,3,6.525064558,0.4895250852,1012.053267,1,0.9999949944,3
denoised,2008-04-23,13,258,0.0503875969,0.9999941758,1.4993225,0.6014404588,0.2244718176,3,6.52181308,0.4873310182,1017.951611,1,0.9999621515,3
denoised,2008-04-24,13,259,0.05019305019,0.9999941903,1.498260456,0.6021134416,0.2240380552,3,6.500954435,0.4872798305,1026.137037,1,0.999120557,3
denoised,2008-04-25,13,260,0.05,0.9999941926,1.497204901,0.6027829039,0.2236067977,3,6.508031695,0.4870592855,1029.589016,1,0.9999956169,3
denoised,2008-04-28,13,261,0.04980842912,0.999994202,1.496155797,0.603448888,0.2231780211,3,6.500648459,0.4862589462,1035.629104,1,0.9999807292,3
denoised,2008-04-29,13,262,0.04961832061,0.9999942229,1.495113087,0.6041114272,0.2227517017,3,6.502493188,0.4875846747,1041.770658,1,0.9999152777,3
