date,members,member_no_data,insufficient_history,below_dollar_adv,estimation_universe
2007-04-02,511,173,8,0,330
2007-04-03,511,174,7,0,330
2007-04-04,511,174,7,0,330
2007-04-05,511,173,8,0,330
2007-04-09,511,175,6,0,330
2007-04-10,511,174,7,0,330
2007-04-11,511,173,8,0,330
2007-04-12,511,174,7,0,330
2007-04-13,511,174,7,0,330
2007-04-16,511,174,7,0,330
2007-04-17,511,174,7,0,330
2007-04-18,511,174,7,0,330
2007-04-19,511,174,7,0,330
2007-04-20,511,174,7,0,330
2007-04-23,511,174,7,0,330
2007-04-24,511,175,6,0,330
2007-04-25,511,174,7,0,330
2007-04-26,511,174,7,0,330
2007-04-27,511,173,8,0,330
2007-04-30,511,174,7,0,330
2007-05-01,511,176,5,0,330
2007-05-02,511,176,5,0,330
2007-05-03,511,173,8,0,330
2007-05-04,511,175,6,0,330
2007-05-07,511,174,7,0,330
2007-05-08,511,175,6,0,330
2007-05-09,511,174,7,0,330
2007-05-10,511,174,7,0,330
2007-05-11,511,176,5,0,330
2007-05-14,511,176,5,0,330
2007-05-15,511,175,6,0,330
2007-05-16,511,175,6,0,330
2007-05-17,511,175,6,0,330
2007-05-18,511,176,5,0,330
2007-05-21,511,175,6,0,330
2007-05-22,511,174,7,0,330
2007-05-23,511,176,5,0,330
2007-05-24,511,176,5,0,330
2007-05-25,511,174,6,0,331
2007-05-29,511,175,5,0,331
2007-05-30,511,174,6,0,331
2007-05-31,511,175,5,0,331
2007-06-01,511,176,4,0,331
2007-06-04,511,176,4,0,331
2007-06-05,511,174,6,0,331
2007-06-06,511,173,7,0,331
2007-06-07,511,174,6,0,331
2007-06-08,511,174,6,0,331
2007-06-11,511,176,4,0,331
2007-06-12,511,174,6,0,331
2007-06-13,511,174,6,0,331
2007-06-14,511,174,6,0,331
2007-06-15,511,175,5,0,331
2007-06-18,511,174,6,0,331
2007-06-19,511,173,7,0,331
2007-06-20,511,175,5,0,331
2007-06-21,511,175,5,0,331
2007-06-22,511,173,7,0,331
2007-06-25,511,172,8,0,331
